Category,Product Name,Price,Description,Reviews,Product URL
Laptops,Asus VivoBook X441NA-GA190,$295.99,"Asus VivoBook X441NA-GA190 Chocolate Black, 14"", Celeron N3450, 4GB, 128GB SSD, Endless OS, ENG kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/60
Laptops,Prestigio SmartBook 133S Dark Grey,$299,"Prestigio SmartBook 133S Dark Grey, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",,https://webscraper.io/test-sites/e-commerce/allinone/product/61
Laptops,Prestigio SmartBook 133S Gold,$299,"Prestigio SmartBook 133S Gold, 13.3"" FHD IPS, Celeron N3350 1.1GHz, 4GB, 32GB, Windows 10 Pro + Office 365 1 gadam",,https://webscraper.io/test-sites/e-commerce/allinone/product/62
Laptops,Aspire E1-510,$306.99,"15.6"", Pentium N3520 2.16GHz, 4GB, 500GB, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/32
Laptops,Lenovo V110-15IAP,$321.94,"Lenovo V110-15IAP, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/63
Laptops,Hewlett Packard 250 G6 Dark Ash Silver,$364.46,"Hewlett Packard 250 G6 Dark Ash Silver, 15.6"" HD, Celeron N3060 1.6GHz, 4GB, 128GB SSD, DOS",,https://webscraper.io/test-sites/e-commerce/allinone/product/65
Laptops,Acer Aspire 3 A315-31 Black,$372.7,"Acer Aspire 3 A315-31 Black, 15.6"" HD, Celeron N3350 1.1GHz, 4GB, 128GB SSD, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/66
Laptops,Acer Aspire A315-31-C33J,$379.94,"Acer Aspire A315-31-C33J Black 15.6"", HD, Celeron N3350, 4GB DDR3L, 128GB, Windows 10 Home, ENG",,https://webscraper.io/test-sites/e-commerce/allinone/product/67
Laptops,Acer Aspire ES1-572 Black,$379.95,"Acer Aspire ES1-572 Black, 15.6"" HD, Core i3-6006U, 4GB, 128GB SSD, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/68
Laptops,Acer Aspire 3 A315-21,$393.88,"Acer Aspire 3 A315-21, 15.6"", AMD A4-9120. 4GB. 128GB SSD, Linux",,https://webscraper.io/test-sites/e-commerce/allinone/product/70
Laptops,Asus VivoBook Max,$399,"Asus VivoBook Max X541NA-GQ041 Black Chocolate, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 500GB, Windows 10 Home",,https://webscraper.io/test-sites/e-commerce/allinone/product/45
Laptops,Asus VivoBook E502NA-GO022T Dark Blue,$399.99,"Asus VivoBook E502NA-GO022T Dark Blue, 15.6"" HD, Pentium N4200 1.1GHz, 4GB, 128GB SSD, Windows 10 Home, En/Ru kbd",,https://webscraper.io/test-sites/e-commerce/allinone/product/71
